"Num", "Success Rate"
0, 68.75
1, 68.75
2, 75
3, 56.25
4, 56.25
5, 68.75
6, 75
7, 68.75
8, 62.5
9, 50
10, 68.75
11, 75
12, 68.75
13, 75
14, 75
15, 50
16, 81.25
17, 50
18, 68.75
19, 75
20, 62.5
21, 68.75
22, 68.75
23, 62.5
24, 56.25
25, 75
26, 75
27, 75
28, 50
29, 68.75
30, 56.25
31, 75
32, 50
33, 68.75
34, 75
35, 31.25
36, 68.75
37, 50
38, 68.75
39, 68.75
40, 68.75
41, 56.25
42, 62.5
43, 56.25
44, 37.5
45, 81.25
46, 62.5
47, 68.75
48, 68.75
49, 75
50, 81.25
51, 43.75
52, 62.5
53, 50
54, 62.5
55, 68.75
56, 37.5
57, 75
58, 37.5
59, 56.25
60, 87.5
61, 68.75
62, 62.5
63, 43.75
64, 75
65, 56.25
66, 37.5
67, 75
68, 81.25
69, 50
70, 50
71, 62.5
72, 56.25
73, 68.75
74, 68.75
75, 56.25
76, 50
77, 75
78, 81.25
79, 68.75
80, 75
81, 56.25
82, 50
83, 62.5
84, 62.5
85, 68.75
86, 62.5
87, 56.25
88, 68.75
89, 75
90, 50
91, 75
92, 68.75
93, 75
94, 62.5
95, 50
96, 56.25
97, 75
98, 68.75
99, 62.5
100, 56.25
101, 56.25
102, 56.25
103, 56.25
104, 75
105, 56.25
106, 68.75
107, 62.5
108, 81.25
109, 56.25
110, 37.5
111, 50
112, 62.5
113, 81.25
114, 75
115, 31.25
116, 75
117, 75
118, 87.5
119, 43.75
120, 68.75
121, 87.5
122, 56.25
123, 68.75
124, 50
125, 50
126, 50
127, 56.25
128, 56.25
129, 56.25
130, 68.75
131, 68.75
132, 75
133, 75
134, 68.75
135, 62.5
136, 75
137, 75
138, 62.5
139, 43.75
140, 68.75
141, 68.75
142, 62.5
143, 87.5
144, 56.25
145, 56.25
146, 50
147, 50
148, 62.5
149, 75
150, 81.25
151, 75
152, 62.5
153, 68.75
154, 75
155, 68.75
156, 68.75
157, 62.5
158, 50
159, 68.75
160, 75
161, 68.75
162, 56.25
163, 81.25
164, 56.25
165, 56.25
166, 56.25
167, 56.25
168, 100
169, 56.25
170, 75
171, 56.25
172, 75
173, 68.75
174, 81.25
175, 62.5
176, 62.5
177, 68.75
178, 50
179, 43.75
180, 62.5
181, 50
182, 68.75
183, 81.25
184, 56.25
185, 75
186, 62.5
187, 43.75
188, 62.5
189, 81.25
190, 68.75
191, 68.75
192, 75
193, 68.75
194, 56.25
195, 81.25
196, 81.25
197, 75
198, 68.75
199, 56.25
200, 75
201, 68.75
202, 62.5
203, 56.25
204, 50
205, 50
206, 50
207, 75
208, 50
209, 62.5
210, 68.75
211, 50
212, 62.5
213, 75
214, 68.75
215, 75
216, 62.5
217, 81.25
218, 62.5
219, 75
220, 56.25
221, 50
222, 43.75
223, 62.5
224, 50
225, 50
226, 62.5
227, 56.25
228, 56.25
229, 75
230, 62.5
231, 37.5
232, 37.5
233, 68.75
234, 43.75
235, 37.5
236, 62.5
237, 56.25
238, 87.5
239, 75
240, 68.75
241, 43.75
242, 56.25
243, 37.5
244, 56.25
245, 81.25
246, 50
247, 56.25
248, 56.25
249, 62.5
250, 75
251, 50
252, 62.5
253, 62.5
254, 68.75
255, 43.75
256, 75
257, 56.25
258, 68.75
259, 62.5
260, 56.25
261, 62.5
262, 56.25
263, 87.5
264, 62.5
265, 56.25
266, 68.75
267, 75
268, 62.5
269, 75
270, 68.75
271, 56.25
272, 56.25
273, 68.75
274, 56.25
275, 50
276, 81.25
277, 68.75
278, 56.25
279, 56.25
280, 50
281, 68.75
282, 50
283, 43.75
284, 81.25
285, 81.25
286, 50
287, 56.25
288, 56.25
289, 56.25
290, 68.75
291, 75
292, 56.25
293, 56.25
294, 62.5
295, 50
296, 50
297, 68.75
298, 56.25
299, 75
300, 56.25
301, 50
302, 56.25
303, 68.75
304, 56.25
305, 56.25
306, 50
307, 50
308, 62.5
309, 68.75
310, 87.5
311, 81.25
312, 75
313, 68.75
314, 62.5
315, 62.5
316, 75
317, 62.5
318, 56.25
319, 37.5
320, 81.25
321, 37.5
322, 68.75
323, 68.75
324, 62.5
325, 43.75
326, 75
327, 68.75
328, 43.75
329, 81.25
330, 75
