"Possibility", "Mean of the Success Rate"
25, 47.94375
26, 48.575
27, 51.26875
28, 52.725
29, 55.118750000000006
30, 57.537499999999994
31, 59.14375
32, 61.21875
33, 64.31875000000001
34, 65.89375
35, 68.25
36, 71.22500000000001
37, 73.5625
38, 75.76875
39, 78.61875
40, 80.33749999999999
41, 82.29375
42, 84.14375
43, 85.7625
44, 87.58125
45, 89.41875
46, 91.0625
47, 92.4625
48, 93.95625
49, 94.55624999999999
50, 95.9125
51, 96.55625
52, 97.2125
53, 97.79375
54, 98.30624999999999
55, 98.68124999999999
56, 98.91875
57, 99.06875000000001
58, 99.325
59, 99.50625
60, 99.575
61, 99.70625
62, 99.725
63, 99.9
64, 99.90625
65, 99.91875
66, 99.95
67, 99.95
68, 99.9875
69, 99.99375
70, 99.9875
71, 99.9875
72, 100
73, 100
74, 100
