"Num", "Success Rate"
0, 81.25
1, 87.5
2, 87.5
3, 93.75
4, 75
5, 87.5
6, 87.5
7, 87.5
8, 87.5
9, 75
10, 56.25
11, 81.25
12, 75
13, 81.25
14, 81.25
15, 87.5
16, 81.25
17, 100
18, 75
19, 75
20, 87.5
21, 56.25
22, 87.5
23, 93.75
24, 87.5
25, 93.75
26, 93.75
27, 75
28, 81.25
29, 81.25
30, 81.25
31, 93.75
32, 75
33, 68.75
34, 75
35, 81.25
36, 68.75
37, 68.75
38, 87.5
39, 81.25
40, 68.75
41, 75
42, 75
43, 62.5
44, 81.25
45, 87.5
46, 75
47, 81.25
48, 68.75
49, 75
50, 81.25
51, 93.75
52, 81.25
53, 81.25
54, 75
55, 87.5
56, 68.75
57, 75
58, 100
59, 87.5
60, 68.75
61, 81.25
62, 87.5
63, 81.25
64, 62.5
65, 93.75
66, 93.75
67, 87.5
68, 50
69, 81.25
70, 93.75
71, 81.25
72, 75
73, 93.75
74, 87.5
75, 68.75
76, 68.75
77, 75
78, 68.75
79, 87.5
80, 68.75
81, 75
82, 93.75
83, 87.5
84, 75
85, 81.25
86, 81.25
87, 75
88, 81.25
89, 68.75
90, 75
91, 87.5
92, 93.75
93, 87.5
94, 75
95, 87.5
96, 81.25
97, 81.25
98, 87.5
99, 81.25
100, 68.75
101, 81.25
102, 62.5
103, 93.75
104, 75
105, 75
106, 87.5
107, 87.5
108, 93.75
109, 75
110, 81.25
111, 62.5
112, 87.5
113, 93.75
114, 93.75
115, 68.75
116, 75
117, 75
118, 81.25
119, 87.5
120, 75
121, 75
122, 87.5
123, 75
124, 75
125, 81.25
126, 93.75
127, 68.75
128, 87.5
129, 81.25
130, 81.25
131, 87.5
132, 75
133, 75
134, 81.25
135, 75
136, 81.25
137, 56.25
138, 75
139, 81.25
140, 93.75
141, 87.5
142, 93.75
143, 87.5
144, 81.25
145, 75
146, 68.75
147, 87.5
148, 93.75
149, 87.5
150, 81.25
151, 81.25
152, 62.5
153, 100
154, 75
155, 68.75
156, 81.25
157, 68.75
158, 62.5
159, 93.75
160, 75
161, 68.75
162, 75
163, 100
164, 68.75
165, 93.75
166, 75
167, 93.75
168, 68.75
169, 81.25
170, 75
171, 81.25
172, 62.5
173, 81.25
174, 93.75
175, 81.25
176, 68.75
177, 93.75
178, 62.5
179, 81.25
180, 75
181, 87.5
182, 87.5
183, 62.5
184, 93.75
185, 62.5
186, 81.25
187, 75
188, 81.25
189, 81.25
190, 93.75
191, 75
192, 93.75
193, 75
194, 81.25
195, 75
196, 68.75
197, 75
198, 68.75
199, 93.75
200, 68.75
201, 81.25
202, 93.75
203, 81.25
204, 81.25
205, 81.25
206, 75
207, 68.75
208, 87.5
209, 93.75
210, 81.25
211, 87.5
212, 87.5
213, 75
214, 93.75
215, 81.25
216, 87.5
217, 81.25
218, 75
219, 81.25
220, 87.5
221, 87.5
222, 75
223, 93.75
224, 87.5
225, 81.25
226, 81.25
227, 93.75
228, 87.5
229, 81.25
230, 68.75
231, 75
232, 75
233, 75
234, 75
235, 93.75
236, 87.5
237, 93.75
238, 81.25
239, 87.5
240, 87.5
241, 81.25
242, 81.25
243, 81.25
244, 93.75
245, 56.25
246, 56.25
247, 62.5
248, 81.25
249, 87.5
250, 87.5
251, 87.5
252, 75
253, 81.25
254, 87.5
255, 93.75
256, 62.5
257, 75
258, 87.5
259, 87.5
260, 62.5
261, 75
262, 87.5
263, 75
264, 87.5
265, 68.75
266, 75
267, 93.75
268, 87.5
269, 87.5
270, 68.75
271, 81.25
272, 75
273, 75
274, 87.5
275, 81.25
276, 93.75
277, 81.25
278, 87.5
279, 87.5
280, 81.25
281, 87.5
282, 87.5
283, 81.25
284, 68.75
285, 87.5
286, 81.25
287, 68.75
288, 93.75
289, 75
290, 68.75
291, 87.5
292, 68.75
293, 75
294, 81.25
295, 81.25
296, 68.75
297, 75
298, 68.75
299, 93.75
300, 75
301, 93.75
302, 93.75
303, 81.25
304, 81.25
305, 93.75
306, 68.75
307, 87.5
308, 100
309, 81.25
310, 87.5
311, 87.5
312, 75
313, 87.5
314, 62.5
315, 62.5
316, 93.75
317, 75
318, 68.75
319, 87.5
320, 87.5
321, 87.5
322, 75
323, 81.25
324, 87.5
325, 87.5
326, 87.5
327, 75
328, 75
329, 68.75
330, 81.25
331, 87.5
332, 75
333, 81.25
334, 93.75
335, 87.5
336, 87.5
337, 68.75
338, 68.75
339, 81.25
340, 93.75
341, 87.5
342, 81.25
343, 75
344, 93.75
345, 81.25
346, 62.5
347, 87.5
348, 81.25
349, 100
350, 62.5
351, 75
352, 93.75
353, 75
354, 68.75
355, 93.75
356, 75
357, 81.25
358, 87.5
359, 93.75
360, 75
361, 62.5
362, 75
363, 75
364, 93.75
365, 68.75
366, 81.25
367, 75
368, 81.25
369, 75
370, 87.5
371, 93.75
372, 75
373, 75
374, 75
375, 81.25
376, 81.25
377, 75
378, 93.75
379, 81.25
380, 75
381, 62.5
382, 81.25
383, 75
384, 75
385, 75
386, 75
387, 87.5
388, 87.5
389, 87.5
390, 81.25
391, 68.75
392, 87.5
393, 75
394, 68.75
395, 75
396, 81.25
397, 75
398, 100
399, 68.75
400, 62.5
401, 75
402, 87.5
403, 81.25
404, 93.75
405, 75
406, 68.75
407, 81.25
408, 87.5
409, 87.5
410, 87.5
411, 87.5
412, 81.25
413, 81.25
414, 93.75
415, 93.75
416, 75
417, 93.75
418, 93.75
419, 75
420, 87.5
421, 81.25
422, 75
423, 68.75
424, 81.25
425, 75
426, 93.75
427, 93.75
428, 81.25
429, 87.5
430, 93.75
431, 62.5
432, 68.75
433, 87.5
434, 75
435, 93.75
436, 87.5
437, 68.75
438, 81.25
439, 81.25
440, 68.75
441, 87.5
442, 68.75
443, 62.5
444, 81.25
445, 93.75
446, 81.25
447, 81.25
448, 56.25
449, 75
450, 87.5
451, 68.75
452, 68.75
453, 81.25
454, 75
455, 87.5
456, 87.5
457, 93.75
458, 68.75
459, 75
460, 68.75
461, 68.75
462, 87.5
463, 75
464, 75
465, 81.25
466, 81.25
467, 87.5
468, 93.75
469, 87.5
470, 75
471, 87.5
472, 75
473, 75
474, 93.75
475, 75
476, 62.5
477, 87.5
478, 68.75
479, 87.5
480, 93.75
481, 87.5
482, 93.75
483, 87.5
484, 68.75
485, 75
486, 75
487, 62.5
488, 93.75
489, 75
490, 87.5
491, 75
492, 75
493, 75
494, 100
495, 68.75
496, 81.25
497, 100
498, 93.75
499, 81.25
500, 87.5
501, 87.5
502, 81.25
503, 93.75
504, 75
505, 81.25
506, 81.25
507, 75
508, 81.25
509, 87.5
510, 81.25
511, 75
512, 81.25
513, 87.5
514, 87.5
515, 75
516, 87.5
517, 87.5
518, 75
519, 93.75
520, 87.5
521, 87.5
522, 68.75
523, 81.25
524, 81.25
525, 81.25
526, 62.5
527, 87.5
528, 81.25
529, 68.75
530, 87.5
531, 68.75
532, 81.25
533, 87.5
534, 93.75
535, 87.5
536, 81.25
537, 81.25
538, 75
539, 81.25
540, 93.75
541, 75
542, 81.25
543, 81.25
544, 75
545, 87.5
546, 81.25
547, 75
548, 81.25
549, 75
550, 75
551, 75
552, 87.5
553, 75
554, 75
555, 75
556, 68.75
557, 75
558, 93.75
559, 81.25
560, 100
561, 87.5
562, 81.25
563, 62.5
564, 75
565, 81.25
566, 87.5
567, 75
568, 87.5
569, 81.25
570, 87.5
571, 81.25
572, 93.75
573, 93.75
574, 87.5
575, 81.25
576, 62.5
577, 87.5
578, 81.25
579, 81.25
580, 68.75
581, 81.25
582, 68.75
583, 93.75
584, 87.5
585, 100
586, 87.5
587, 87.5
588, 93.75
589, 93.75
590, 81.25
591, 81.25
592, 81.25
593, 75
594, 81.25
595, 81.25
596, 75
597, 75
598, 93.75
599, 62.5
600, 68.75
601, 75
602, 75
603, 87.5
604, 87.5
605, 81.25
606, 75
607, 75
608, 75
609, 75
610, 68.75
611, 62.5
612, 87.5
613, 75
614, 81.25
615, 93.75
616, 87.5
617, 87.5
618, 87.5
619, 75
620, 81.25
621, 81.25
622, 81.25
623, 75
624, 81.25
625, 87.5
626, 75
627, 68.75
